"Year","MatMort","NeoMort","InfMort","Under5Mort","ISO"
2002,NA,3.3,6.5,7.3,"AND"
2003,NA,3.2,6.2,6.9,"AND"
2004,NA,3,5.9,6.5,"AND"
2005,NA,2.9,5.6,6.1,"AND"
2006,NA,2.7,5.3,5.8,"AND"
2007,NA,2.6,5,5.4,"AND"
2008,NA,2.5,4.7,5.1,"AND"
2009,NA,2.3,4.4,4.8,"AND"
2010,NA,2.2,4.1,4.5,"AND"
2011,NA,2.1,3.9,4.2,"AND"
2012,NA,2,3.7,4,"AND"
2013,NA,1.9,3.5,3.8,"AND"
2014,NA,1.8,3.3,3.5,"AND"
2015,NA,1.7,3.1,3.3,"AND"
2016,NA,1.6,2.9,3.2,"AND"
2017,NA,1.5,2.8,3,"AND"
2018,NA,1.4,2.6,2.8,"AND"
2019,NA,1.4,2.5,2.7,"AND"
2000,250,25.43366271,44.09256936,60.55947269,NA
2001,243,24.93281577,42.80036294,58.68500273,NA
2002,235,24.44103019,41.50108659,56.84083698,NA
2003,235,23.9299708,40.27458816,55.05752876,NA
2004,226,23.37480051,39.03268064,53.26149867,NA
2005,214,22.8193077,37.82395227,51.51764004,NA
2006,211,22.23770667,36.61907387,49.7665975,NA
2007,201,21.65908974,35.39824616,47.994989,NA
2008,188,21.01697136,34.18125018,46.19507879,NA
2009,180,20.42271206,33.03302876,44.47126503,NA
2010,174,19.81082997,31.98699405,42.96973593,NA
2011,167,19.32042084,31.1429479,41.75459068,NA
2012,163,18.88427645,30.64680617,41.36755449,NA
2013,157,18.45402447,30.00549986,40.60593811,NA
2014,156,18.00301048,29.35539374,39.65857468,NA
2015,153,17.61914483,28.69596462,38.62730663,NA
2016,152,17.33249392,28.08376594,37.68171538,NA
2017,149,17.11626306,27.29272157,36.23137417,NA
2018,NA,16.87736007,26.82549778,35.61514683,NA
2019,NA,16.65764201,26.33280639,34.88575942,NA
2000,6,5.9,9.6,11.1,"ARE"
2001,6,5.7,9.3,10.9,"ARE"
2002,5,5.6,9.1,10.6,"ARE"
2003,5,5.5,8.9,10.3,"ARE"
2004,5,5.3,8.6,10.1,"ARE"
2005,5,5.2,8.4,9.8,"ARE"
2006,4,5.1,8.2,9.6,"ARE"
2007,4,5,8.1,9.4,"ARE"
2008,4,4.9,7.9,9.2,"ARE"
2009,4,4.8,7.6,8.9,"ARE"
2010,4,4.6,7.4,8.7,"ARE"
2011,4,4.5,7.2,8.4,"ARE"
2012,4,4.4,7,8.2,"ARE"
2013,3,4.3,6.8,8,"ARE"
2014,3,4.2,6.7,7.8,"ARE"
2015,3,4.1,6.5,7.6,"ARE"
2016,3,4,6.3,7.4,"ARE"
2017,3,3.9,6.2,7.2,"ARE"
2018,NA,3.8,6,7,"ARE"
2019,NA,3.7,5.8,6.8,"ARE"
2000,66,11,17.5,19.6,"ARG"
2001,67,11,16.9,18.9,"ARG"
2002,65,10.8,16.4,18.3,"ARG"
2003,65,10.3,15.8,17.7,"ARG"
2004,61,9.7,15.3,17.1,"ARG"
2005,59,9.1,14.8,16.5,"ARG"
2006,57,8.7,14.4,16.1,"ARG"
2007,56,8.4,14,15.7,"ARG"
2008,53,8.1,13.7,15.3,"ARG"
2009,56,7.8,13.3,14.9,"ARG"
2010,51,7.6,12.9,14.5,"ARG"
2011,48,7.5,12.4,13.9,"ARG"
2012,47,7.6,11.9,13.3,"ARG"
2013,44,7.4,11.3,12.7,"ARG"
2014,42,6.9,10.8,12.1,"ARG"
2015,41,6.5,10.2,11.5,"ARG"
2016,40,6.4,9.7,10.9,"ARG"
2017,39,6.3,9.2,10.3,"ARG"
2018,NA,6,8.6,9.7,"ARG"
2019,NA,5.3,8.1,9.1,"ARG"
2000,43,16.1,27,30.6,"ARM"
2001,42,15.3,25.7,29.1,"ARM"
2002,39,14.5,24.5,27.7,"ARM"
2003,38,13.8,23.3,26.3,"ARM"
2004,36,13.1,22.2,25,"ARM"
2005,35,12.5,21.1,23.7,"ARM"
2006,36,11.9,20,22.5,"ARM"
2007,32,11.3,19,21.4,"ARM"
2008,36,10.7,18.1,20.3,"ARM"
2009,32,10.1,17.2,19.2,"ARM"
2010,32,9.6,16.3,18.3,"ARM"
2011,30,9.1,15.5,17.3,"ARM"
2012,30,8.7,14.7,16.4,"ARM"
2013,26,8.2,14,15.6,"ARM"
2014,27,7.8,13.3,14.8,"ARM"
2015,28,7.4,12.6,14.1,"ARM"
2016,26,7,12,13.4,"ARM"
