"conflict_id","ISO","year","best","binaryconflict"
333,"AFG",2004,10,0
333,"AFG",2004,4,0
333,"AFG",2004,0,0
333,"AFG",2004,0,0
333,"AFG",2004,0,0
333,"AFG",2004,5,0
333,"AFG",2004,6,0
333,"AFG",2004,5,0
333,"AFG",2005,3,0
333,"AFG",2005,16,0
333,"AFG",2005,5,0
333,"AFG",2005,4,0
333,"AFG",2005,4,0
333,"AFG",2005,1,0
333,"AFG",2005,3,0
333,"AFG",2005,5,0
333,"AFG",2005,5,0
333,"AFG",2005,0,0
333,"AFG",2005,3,0
333,"AFG",2005,1,0
333,"AFG",2005,2,0
333,"AFG",2005,2,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,7,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,12,0
333,"AFG",2005,4,0
333,"AFG",2005,3,0
333,"AFG",2005,0,0
333,"AFG",2005,4,0
333,"AFG",2005,2,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,2,0
333,"AFG",2005,2,0
333,"AFG",2005,6,0
333,"AFG",2005,3,0
333,"AFG",2005,3,0
333,"AFG",2005,8,0
333,"AFG",2005,2,0
333,"AFG",2005,2,0
333,"AFG",2005,2,0
333,"AFG",2005,1,0
333,"AFG",2005,2,0
333,"AFG",2005,4,0
333,"AFG",2005,5,0
333,"AFG",2005,2,0
333,"AFG",2005,4,0
333,"AFG",2005,5,0
333,"AFG",2005,5,0
333,"AFG",2005,0,0
333,"AFG",2005,3,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,5,0
333,"AFG",2005,1,0
333,"AFG",2005,1,0
333,"AFG",2005,0,0
333,"AFG",2005,4,0
333,"AFG",2005,4,0
333,"AFG",2005,3,0
333,"AFG",2005,1,0
333,"AFG",2005,3,0
333,"AFG",2005,3,0
333,"AFG",2005,8,0
333,"AFG",2005,4,0
333,"AFG",2005,11,0
333,"AFG",2005,6,0
333,"AFG",2005,6,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,17,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,8,0
333,"AFG",2005,2,0
333,"AFG",2005,4,0
333,"AFG",2005,0,0
333,"AFG",2005,1,0
333,"AFG",2005,21,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,1,0
333,"AFG",2005,7,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,1,0
333,"AFG",2005,5,0
333,"AFG",2005,2,0
333,"AFG",2005,5,0
333,"AFG",2005,0,0
